id_fornecedor,nome,segmento,estado,interesse_declarado,data_acesso,hora,tela_acessada,tempo_segundos,buscou,clicou_oportunidade,iniciou_proposta,abandonou_proposta,enviou_proposta,engajamento,interesse_real
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-13,17:09,Treinamentos,368,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-12,09:19,Minha Área de Interesse,403,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-15,18:15,Home,273,Manutenção,Não,Não,Não,Não,Inativo,Oportunidades
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-13,08:44,Minha Área de Interesse,188,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-14,10:10,Oportunidades,76,Engenharia,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-12,09:09,Propostas,97,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN001,Empresa Beta,Logística,BA,Leilões,2026-09-15,18:55,Treinamentos,453,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-08,16:15,Propostas,282,Nenhuma,Sim,Sim,Não,Não,Inativo,Nenhum
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-15,17:57,Minha Área de Interesse,126,FPSO,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-05,13:46,Home,115,Nenhuma,Sim,Sim,Não,Não,Inativo,Nenhum
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-12,13:43,Oportunidades,363,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-10,17:27,Minha Área de Interesse,26,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN002,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-15,17:02,Treinamentos,274,Nenhuma,Sim,Sim,Não,Sim,Engajado,Nenhum
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-15,16:58,Oportunidades,167,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-14,13:43,Oportunidades,317,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-15,16:31,Propostas,320,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-15,10:14,Treinamentos,226,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-14,14:29,Minha Área de Interesse,400,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN003,Empresa Omega,Construção,MG,Leilões,2026-09-15,14:35,Propostas,258,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN004,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-15,08:16,Home,594,Manutenção,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN004,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-14,10:19,Propostas,428,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN004,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-14,18:23,Propostas,395,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN004,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-12,11:55,Home,114,FPSO,Não,Sim,Não,Não,Inativo,Oportunidades
FORN005,Empresa Delta,Serviços,RS,Leilões,2026-09-15,11:20,Propostas,525,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN005,Empresa Delta,Serviços,RS,Leilões,2026-09-13,12:08,Oportunidades,176,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN005,Empresa Delta,Serviços,RS,Leilões,2026-09-05,12:50,Oportunidades,95,Nenhuma,Não,Sim,Sim,Não,Em risco,Nenhum
FORN005,Empresa Delta,Serviços,RS,Leilões,2026-09-07,11:26,Propostas,515,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN005,Empresa Delta,Serviços,RS,Leilões,2026-09-10,17:18,Oportunidades,27,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN006,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-08,18:11,Home,237,Engenharia,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN006,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-07,14:57,Minha Área de Interesse,290,Equipamentos,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN006,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-09,13:53,Home,274,Engenharia,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN006,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-13,18:12,Propostas,456,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-11,11:28,Minha Área de Interesse,482,Manutenção,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-14,15:03,Oportunidades,237,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-10,18:32,Propostas,262,FPSO,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-12,18:54,Oportunidades,98,Nenhuma,Sim,Sim,Não,Sim,Engajado,Nenhum
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-15,08:16,Home,316,FPSO,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-12,14:35,Propostas,246,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
